cluster_ordinal,n_members,mean_r,tier,folder
1,25,0.9151,Tier1_Strong,Subclass_01_n25_r0.92
2,12,0.9932,Tier1_Strong,Subclass_02_n12_r0.99
3,9,0.9374,Tier1_Strong,Subclass_03_n9_r0.94
4,6,0.9778,Tier1_Strong,Subclass_04_n6_r0.98
5,6,0.9366,Tier1_Strong,Subclass_05_n6_r0.94
6,3,0.9902,Tier2_Moderate,Subclass_06_n3_r0.99
7,2,0.9666,Tier2_Moderate,Subclass_07_n2_r0.97
8,2,0.9627,Tier2_Moderate,Subclass_08_n2_r0.96
9,2,0.859,Tier2_Moderate,Subclass_09_n2_r0.86
10,1,,Tier3_Singletons,Tier3_Singletons
11,1,,Tier3_Singletons,Tier3_Singletons
12,1,,Tier3_Singletons,Tier3_Singletons
13,1,,Tier3_Singletons,Tier3_Singletons
14,1,,Tier3_Singletons,Tier3_Singletons
15,1,,Tier3_Singletons,Tier3_Singletons
16,1,,Tier3_Singletons,Tier3_Singletons
